names,url,image,description
Hammurabi,https://en.wikipedia.org/wiki/Hammurabi,https://en.wikipedia.org/wiki/File:F0182_Louvre_Code_Hammourabi_Bas-relief_Sb8_rwk.jpg,"Reign : c. 1792 – c. 1750 BC (MC), Predecessor : Sin-Muballit, Successor : Samsu-iluna, Born : c. 1810 BCBabylon, Died : c. 1750 BC (aged 59–60)Babylon, Issue : Samsu-iluna, "
Hatshepsut,https://en.wikipedia.org/wiki/Hatshepsut,https://en.wikipedia.org/wiki/File:Seated_Statue_of_Hatshepsut_MET_Hatshepsut2012.jpg,"Reign : c. 1478/9 – 1458 BC, Predecessor : Thutmose II, Successor : Thutmose III, 
Horus name : Royal titulary

Horus name

Weseret kauwsrt-kꜢwPowerful of kas[1] 




    






      






 




 


Nebty name

Wadjet renputwꜢḏt-rnpwtFlourishing of years[1] 




    




    










 


Golden Horus

Netjeret khaunṯrt-ḫꜤwDivine of appearances[1] 




    




     









 


Prenomen  (Praenomen)

Maat ka remꜢꜤt kꜢ rꜤThe true one of the ka of Re[1]Truth (Ma'at) is the Ka of Re 

    




 





    






 




 


Nomen

Khenemet imun, hat shepsutimn ẖnmt ḥꜢt špswtUnited with Amun, foremost of noble women[1] 

      




 





        






 




 

, Consort : Thutmose II, Children : Neferure[2], Father : Thutmose I, Mother : Ahmose, Born : c. 1507 BC[3], Died : 1458 BC (aged 50), Burial : KV20 (possibly re-interred in KV60[4]), Monuments : Temple of Karnak, Mortuary Temple of Hatshepsut, Speos Artemidos Chapelle Rouge, Dynasty : 18th Dynasty, "
Ramesses II,https://en.wikipedia.org/wiki/Ramesses_II,https://en.wikipedia.org/wiki/File:Ramses_II_British_Museum.jpg,"Reign : 1279–1213 BC, Predecessor : Seti I, Successor : Merneptah, 
Horus name : Royal titulary

Horus name

Ka nakht, Mery maat[1]""The strong bull, beloved of right (truth)"" [2] 




    






     






 




 


Nebty name

Mek kemet, waf khasut[1]""Protector of Egypt who curbs foreign lands"" [2] 




    




          










 


Golden Horus

User renput, aa nakhtu[1]""Rich in years – great in victories"" [2] 




    




     









 


Prenomen  (Praenomen)

User maat Re, setep en Re[1]""The justice of Rê is powerful – chosen of Rê"" [3] 

    




 





      






 




 


Nomen

Ra mes su, mery Amun[1]""Ramesses (Re is the one who bore him),[1] beloved of Amun"" [3] 

      




 





      






 




 

, Consorts : Nefertari, Isetnofret, Maathorneferure, Meritamen, Bintanath, Nebettawy, Henutmire, Children : 88–103 (List of children of Ramesses II), Father : Seti I, Mother : Tuya, Born : c. 1303 BC, Died : c. 1213 BC (aged 90–91), Burial : KV7, Monuments : Abu Simbel, Abydos,[4] Ramesseum, Luxor,[5] Karnak[5], Dynasty : 19th Dynasty, "
Cyrus the Great,https://en.wikipedia.org/wiki/Cyrus_the_Great,https://en.wikipedia.org/wiki/File:Cyrus_II_(The_Great).jpg,"Reign : 559–530 BC, Predecessor : Empire established, Successor : Cambyses II, Reign : 559–530 BC, Predecessor : Cambyses I, Successor : Cambyses II, Reign : 549–530 BC, Predecessor : Astyages, Successor : Cambyses II, Reign : 547–530 BC, Predecessor : Croesus, Successor : Cambyses II, Reign : 539–530 BC, Predecessor : Nabonidus, Successor : Cambyses II, Born : c. 600 BC[2]Anshan, Persis (present-day Fars Province, Iran), Died : 4 December 530 BC[3] (aged 70)Syr Darya, Central Asia, Burial : Pasargadae, Consort : Cassandane, Amytis of Media, Issue : 
Cambyses II
Bardiya
Artystone
Atossa
Roxane[3]
, House : Teispid, Father : Cambyses I, Mother : Mandane of Media, "
Alexander the Great,https://en.wikipedia.org/wiki/Alexander_the_Great,https://en.wikipedia.org/wiki/File:Alexander_the_Great_mosaic_(cropped).jpg,"Reign : 336–323 BC, Predecessor : Philip II, Successor : 
Alexander IV
Philip III
, Reign : 336–323 BC, Predecessor : Philip II, Successor : Demetrius Poliorcetes, Reign : 332–323 BC, Predecessor : Darius III, Successor : 
Alexander IV
Philip III
Royal titulary

Prenomen  (Praenomen)

stp.n-rꜤ mrj-jmnSetepenre meryamunChosen by Ra, beloved by Amun

    




 





     






 






    




 





     






 







Nomen

ꜤlwksjndrsAluksindresAlexandros 

      




 





      






 




 


Horus name

mk-kmtMekemetProtector of Egypt 




    






     






 




Second Horus name:ḥḳꜢ-ḳnj tkn-ḫꜢswtHeqaqeni tekenkhasutThe brave ruler who has attacked foreign lands 




    






       






 




Third Horus name:ḥḳꜢ ḥḳꜢw nw tꜢ (r) ḏr-fHeqa heqau nu ta (er) djerefThe ruler of the rulers of the entire land 




    






      






 




Fourth Horus name:ṯmꜢ-ꜤTjema'aThe sturdy-armed one 




    






     






 







Nebty name

mꜢj wr-pḥty jṯ ḏww tꜢw ḫꜢswtMai werpehty itj dju tau khasutThe lion, great of might, who takes possession of mountains, lands, and deserts 




    




         










 


Golden Horus

kꜢ (nḫt) ḫwj bꜢḳ(t) ḥḳꜢ wꜢḏ(-wr) šnw n jtnKa (nakht) khui baq(et) heqa wadj(wer) shenu en AtenThe (strong) bull who protects Egypt, the ruler of the sea and of what the sun encircles 




    




             









 

, Reign : 330–323 BC, Predecessor : Darius III, Successor : 
Alexander IV
Philip III
, Born : 20 or 21 July 356 BCPella, Macedon, Died : 10 or 11 June 323 BC (aged 32)Babylon, Mesopotamia, Spouse : 
Roxana
Stateira
Parysatis
, Issue : 
Alexander IV
Heracles (alleged illegitimate son)
, Names : NamesAlexander III of Macedon, Lord of Asia, Greek : Ἀλέξανδρος[d], Dynasty : Argead, Father : Philip II of Macedon, Mother : Olympias of Epirus, Religion : Ancient Greek religion, "
Ashoka,https://en.wikipedia.org/wiki/Ashoka,https://en.wikipedia.org/wiki/File:Ashoka%27s_visit_to_the_Ramagrama_stupa_Sanchi_Stupa_1_Southern_gateway.jpg,
Qin Shi Huang,https://en.wikipedia.org/wiki/Qin_Shi_Huang,https://en.wikipedia.org/wiki/File:QinShiHuang19century.jpg,
Julius Caesar,https://en.wikipedia.org/wiki/Julius_Caesar,https://en.wikipedia.org/wiki/File:Retrato_de_Julio_C%C3%A9sar_(26724093101)_(cropped).jpg,"Born : 12 July 100 BC[1]Suburra, Italy, Died : 15 March 44 BC (aged 55)Theatre of Pompey, Rome, Cause of death : Assassination (stab wounds), Resting place : Temple of Caesar, Rome41°53′31″N 12°29′10″E﻿ / ﻿41.891943°N 12.486246°E﻿ / 41.891943; 12.486246, Occupations : Politiciansoldier, Notable work : Bellum GallicumBellum Civile, Office : 
Pontifex maximus (64–44 BC)
Consul (59 BC)
Proconsul (Gaul, Illyricum) (58–49 BC)
Dictator (49–44 BC)
Consul (48, 46–44 BC)
Dictator perpetuo (44 BC)[2]
, Spouses : Cossutia (disputed)Cornelia(m. 84 BC; d. 69 BC)Pompeia(m. 67 BC; div. 61 BC)Calpurnia(m. 59 BC), Partner : Cleopatra, Children : JuliaCaesarion (unacknowledged)Augustus (adoptive), Parents : Gaius Julius CaesarAurelia, Awards : Civic Crown, Years of service : 81–45 BC, Battles/wars : 
Siege of Mytilene
Gallic Wars
Invasions of Britain
Caesar's civil war
Alexandrian war
, "
Augustus,https://en.wikipedia.org/wiki/Augustus,https://en.wikipedia.org/wiki/File:Augustus_of_Prima_Porta_(inv._2290).jpg,"Reign : 16 January 27 BC – 19 August AD 14, Successor : Tiberius, Born : Gaius Octavius23 September 63 BCRome, Italy, Roman Republic, Died : 19 August AD 14 (aged 76)Nola, Italy, Roman Empire, Burial : Mausoleum of Augustus, Rome, Spouses : Claudia(m. 42 BC; div. 40 BC)Scribonia(m. 40 BC; div. 38 BC)Livia(m. 37 BC), Issue : Julia the ElderGaius Caesar (adopted)Lucius Caesar (adopted)Agrippa Postumus (adopted)Tiberius (adopted), Regnal name : Regnal nameImperator Caesar Augustus, Dynasty : Julio-Claudian, Father : Gaius OctaviusJulius Caesar (adoptive), Mother : Atia, Occupation : Consul (43, 33, 31–23, 5, 2 BC)Triumvir (43–27 BC)Pontifex Maximus (from 12 BC), "
Charlemagne,https://en.wikipedia.org/wiki/Charlemagne,https://en.wikipedia.org/wiki/File:Charlemagne_denier_Mayence_812_814.jpg,
